Immatriculation,Titre courant de l'œuvre,Légende,Département,Commune,Lieu-dit,Adresse,Sujet,Nom du fichier,Année de la photo,Catégorie,Mot-clé,Auteur doc. reproduit,url_photo_small,url_photo_medium
IVR11_20087700902NUC4A,Idéal Standard,,77.0,Dammarie-les-Lys,,,,IVR11_20087700902NUC4A.jpg,2008.0,,,,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/48bb17e60000000000000000_SMALL.jpg,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/48bb17e60000000000000000_MEDIUM.jpg
IVR11_20099400001NUC4A,carte de navigation,Détail de la carte entre Montereau-Fault-Yonne et Champagne-sur-Seine.,94.0,"Champagne-sur-Seine,Montereau-Fault-Yonne,Saint-Germain-Laval,Saint-Mammès,Varennes-sur-Seine,Veneux-les-Sablons,Vernou-la-Celle-sur-Seine,La Grande-Paroisse",,,,IVR11_20099400001NUC4A.jpg,2009.0,,,?,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/4984d7f10000000000000000_SMALL.jpg,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/4984d7f10000000000000000_MEDIUM.jpg
IVR11_20099400106NUC4A,barrage éclusé d'Ablon-sur-Seine,"Vue du barrage et de bateaux à la sortie de l'écluse. Carte postale. ( Musée de la batellerie, Conflans-Sainte-Honorine)",94.0,Ablon-sur-Seine,,Magné (quai),,IVR11_20099400106NUC4A.jpg,2009.0,,,?,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/4984d85a0000000000000000_SMALL.jpg,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/4984d85a0000000000000000_MEDIUM.jpg
IVR11_20099400341NUC4A,,"Crèche, 1 rue des Granges. Détail de la mise en oeuvre de la brique et des baies aux claustras en béton. Crèche",94.0,Vitry-sur-Seine,,Granges (rue des) 1,,IVR11_20099400341NUC4A.jpg,2009.0,,,,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/4984d9450000000000000000_SMALL.jpg,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/4984d9450000000000000000_MEDIUM.jpg
IVR11_20099400653NUC4A,,Vue de la façade sur rue. Bibliothèque Anatole France,94.0,Villeneuve-le-Roi,,Général-de-Gaulle (avenue du) 51,,IVR11_20099400653NUC4A.jpg,2009.0,,,,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/4984da7d0000000000000000_SMALL.jpg,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/4984da7d0000000000000000_MEDIUM.jpg
IVR11_20099300248NUC4A,usine ex Roussel-Uclaf,Site Sanofi. Vue extérieure du bâtiment d'accueil. Usine ex Roussel-Uclaf,93.0,Romainville,,111 route de Noisy,,IVR11_20099300248NUC4A.jpg,2009.0,,,,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/49a9c2e80000000000000000_SMALL.jpg,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/49a9c2e80000000000000000_MEDIUM.jpg
IVR11_20099300307NUC4A,usine ex Roussel-Uclaf,Site Sanofi. Vue de la portée d'entrée principale du bâtiment de la chaufferie. Usine ex Roussel-Uclaf,93.0,Romainville,,111 route de Noisy,,IVR11_20099300307NUC4A.jpg,2009.0,,,,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/49a9c3230000000000000000_SMALL.jpg,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/49a9c3230000000000000000_MEDIUM.jpg
IVR11_20099300462NUC4A,usine ex Roussel-Uclaf,Site Biocitech. Vue de l'escalier intérieur de la tour de l'horloge. Usine ex Roussel-Uclaf,93.0,Romainville,,111 route de Noisy,,IVR11_20099300462NUC4A.jpg,2009.0,,,,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/49a9c3be0000000000000000_SMALL.jpg,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/49a9c3be0000000000000000_MEDIUM.jpg
IVR11_20099300516NUC4A,usine ex Roussel-Uclaf,"Site Sanofi. Plaque Bacock et Wilcox, bâtiment de la chaufferie. Usine ex Roussel-Uclaf",93.0,Romainville,,111 route de Noisy,,IVR11_20099300516NUC4A.jpg,2009.0,,,,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/49a9c3f40000000000000000_SMALL.jpg,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/49a9c3f40000000000000000_MEDIUM.jpg
IVR11_20097700508NUC4A,,,77.0,Avon,,,,IVR11_20097700508NUC4A.jpg,2009.0,,,,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/4a9c49dc0000000000000000_SMALL.jpg,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/4a9c49dc0000000000000000_MEDIUM.jpg
